geometry,severity,area_sqm,centroid_lat,centroid_lon
"POLYGON ((402134.3626693955 3487159.2259684554, 402134.3626693955 3487139.2259684554, 402124.3626693955 3487139.2259684554, 402124.3626693955 3487109.2259684554, 402134.3626693955 3487109.2259684554, 402134.3626693955 3487089.2259684554, 402124.3626693955 3487089.2259684554, 402124.3626693955 3487069.2259684554, 402134.3626693955 3487069.2259684554, 402134.3626693955 3487049.2259684554, 402154.3626693955 3487049.2259684554, 402154.3626693955 3487069.2259684554, 402164.3626693955 3487069.2259684554, 402164.3626693955 3487089.2259684554, 402174.3626693955 3487089.2259684554, 402174.3626693955 3487119.2259684554, 402164.3626693955 3487119.2259684554, 402164.3626693955 3487129.2259684554, 402154.3626693955 3487129.2259684554, 402154.3626693955 3487139.2259684554, 402144.3626693955 3487139.2259684554, 402144.3626693955 3487159.2259684554, 402134.3626693955 3487159.2259684554))",High,3400.0,31.514655360075462,73.96944304456366
"POLYGON ((403434.3626693955 3487069.2259684554, 403434.3626693955 3487049.2259684554, 403444.3626693955 3487049.2259684554, 403444.3626693955 3487069.2259684554, 403434.3626693955 3487069.2259684554))",High,200.0,31.514387520826382,73.98305899967195
"POLYGON ((403464.3626693955 3487069.2259684554, 403464.3626693955 3487059.2259684554, 403454.3626693955 3487059.2259684554, 403454.3626693955 3487049.2259684554, 403474.3626693955 3487049.2259684554, 403474.3626693955 3487069.2259684554, 403464.3626693955 3487069.2259684554))",High,300.0,31.514374717444507,73.98333996834644
"POLYGON ((401784.3626693955 3487059.2259684554, 401784.3626693955 3487039.2259684554, 401794.3626693955 3487039.2259684554, 401794.3626693955 3487049.2259684554, 401804.3626693955 3487049.2259684554, 401804.3626693955 3487039.2259684554, 401824.3626693955 3487039.2259684554, 401824.3626693955 3487049.2259684554, 401834.3626693955 3487049.2259684554, 401834.3626693955 3487059.2259684554, 401784.3626693955 3487059.2259684554))",High,800.0,31.51417089349043,73.96588250804416
"POLYGON ((401924.3626693955 3487069.2259684554, 401924.3626693955 3487059.2259684554, 401914.3626693955 3487059.2259684554, 401914.3626693955 3487049.2259684554, 401934.3626693955 3487049.2259684554, 401934.3626693955 3487039.2259684554, 401964.3626693955 3487039.2259684554, 401964.3626693955 3487049.2259684554, 401944.3626693955 3487049.2259684554, 401944.3626693955 3487059.2259684554, 401934.3626693955 3487059.2259684554, 401934.3626693955 3487069.2259684554, 401924.3626693955 3487069.2259684554))",High,700.0,31.514189990664622,73.9672494572622
"POLYGON ((402724.3626693955 3487059.2259684554, 402724.3626693955 3487039.2259684554, 402744.3626693955 3487039.2259684554, 402744.3626693955 3487059.2259684554, 402724.3626693955 3487059.2259684554))",High,400.0,31.51423808436262,73.97563619041212
"POLYGON ((403504.3626693955 3487049.2259684554, 403504.3626693955 3487039.2259684554, 403524.3626693955 3487039.2259684554, 403524.3626693955 3487049.2259684554, 403504.3626693955 3487049.2259684554))",High,200.0,31.51425847987607,73.98385023066402
"POLYGON ((401294.3626693955 3487089.2259684554, 401294.3626693955 3487029.2259684554, 401304.3626693955 3487029.2259684554, 401304.3626693955 3487039.2259684554, 401314.3626693955 3487039.2259684554, 401314.3626693955 3487059.2259684554, 401304.3626693955 3487059.2259684554, 401304.3626693955 3487089.2259684554, 401294.3626693955 3487089.2259684554))",High,800.0,31.514184074169446,73.96055100718488
"POLYGON ((401744.3626693955 3487119.2259684554, 401744.3626693955 3487109.2259684554, 401754.3626693955 3487109.2259684554, 401754.3626693955 3487099.2259684554, 401724.3626693955 3487099.2259684554, 401724.3626693955 3487089.2259684554, 401714.3626693955 3487089.2259684554, 401714.3626693955 3487079.2259684554, 401694.3626693955 3487079.2259684554, 401694.3626693955 3487069.2259684554, 401714.3626693955 3487069.2259684554, 401714.3626693955 3487059.2259684554, 401724.3626693955 3487059.2259684554, 401724.3626693955 3487039.2259684554, 401744.3626693955 3487039.2259684554, 401744.3626693955 3487029.2259684554, 401764.3626693955 3487029.2259684554, 401764.3626693955 3487039.2259684554, 401774.3626693955 3487039.2259684554, 401774.3626693955 3487069.2259684554, 401764.3626693955 3487069.2259684554, 401764.3626693955 3487079.2259684554, 401774.3626693955 3487079.2259684554, 401774.3626693955 3487119.2259684554, 401744.3626693955 3487119.2259684554))",High,4100.0,31.51436886988653,73.96522823440779
"POLYGON ((403034.3626693955 3487039.2259684554, 403034.3626693955 3487029.2259684554, 403054.3626693955 3487029.2259684554, 403054.3626693955 3487039.2259684554, 403034.3626693955 3487039.2259684554))",High,200.0,31.51412886390821,73.97890201922384
